Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
2.893667,1.701596,1.70159583,2.284751721,0.4170163,0.4170163,0.4826841,0.1906707,0.1970017,0.1725648,0.1338793,0.1461691,0.1303318,0.1351673,0.1484834
2.976005,1.701596,1.70159583,2.284751721,0.4257862,0.4257862,0.4902546,0.1906707,0.1970017,0.1725648,0.1338793,0.1461691,0.1303318,0.1351673,0.1484834
2.976265,1.742046,1.742045816,2.243381765,0.4257862,0.4257862,0.4902546,0.1929236,0.19521,0.1725648,0.1338793,0.1461691,0.1303318,0.1351673,0.1484834
2.97649,1.742046,1.742045816,2.243381765,0.4257862,0.4257862,0.4902546,0.1929236,0.19521,0.1662731,0.1293447,0.1461691,0.1303318,0.1351673,0.1484834
2.976711,1.804842,1.804842333,2.254186092,0.4257862,0.4257862,0.4902546,0.1929236,0.19521,0.1662731,0.1293447,0.1436038,0.1300191,0.1351673,0.1484834
2.97692,1.804842,1.804842333,2.254186092,0.4257862,0.4257862,0.4902546,0.1929236,0.19521,0.1662731,0.1293447,0.1436038,0.1300191,0.1382975,0.1590395
3.059952,1.804842,1.804842333,2.254186092,0.4342701,0.4342701,0.4929577,0.1929236,0.19521,0.1662731,0.1293447,0.1436038,0.1300191,0.1382975,0.1590395
3.060213,1.847231,1.847230877,2.243214116,0.4342701,0.4342701,0.4929577,0.195176,0.1947343,0.1662731,0.1293447,0.1436038,0.1300191,0.1382975,0.1590395
3.06044,1.847231,1.847230877,2.243214116,0.4342701,0.4342701,0.4929577,0.195176,0.1947343,0.1602172,0.1268864,0.1436038,0.1300191,0.1382975,0.1590395
3.060655,1.915565,1.915565303,2.28494011,0.4342701,0.4342701,0.4929577,0.195176,0.1947343,0.1602172,0.1268864,0.1410191,0.1288265,0.1382975,0.1590395
